layer_id,layer_key,label,group_id,source_path,source_exists,geometry_family,feature_count,geojson_path,distance_path,analysis_rds_path,analysis_base_buffer_m,status,message
population_points,trl_population_250m_centroids,Befolkning 250 m centroid,settlement,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 32/TFylke_Popu_250m_Centroid.shp,TRUE,polygon_proxy_from_250m_centroids,26029,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/population_points.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/population_points.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/population_points.rds,0,ok,Population proxy: 250 m occupied grid-cell polygon derived from centroids and dissolved. Existing distance table is centroid-based until the polygon-distance table is rebuilt.
built_centre,trl_built_centre_tettsted,Tettsted / built centre,settlement,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 32/N500_AD_PopulatedAreas_TRL_32.shp,TRUE,polygon,1,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/built_centre.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/built_centre.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/built_centre.rds,0,ok,NA
built_low_selection,trl_holiday_house_centroids,Fritidshus centroid,settlement,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 32/Fritidshus_SSB/SSB_Matr-Bygg_2024_Fritid-buil2hol_Centroid_TRL_32.shp,TRUE,point,10966,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/built_low_selection.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/built_low_selection.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/built_low_selection.rds,0,ok,NA
roads_medium,trl_roads_n500,Mellanvägar,transport,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 32/N500_SL_RoadsClip_TRL_32.shp,TRUE,line,2252,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/roads_medium.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/roads_medium.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/roads_medium.rds,0,ok,Trondelag N500 roads where vegkategor is F. Mirrors Bornholm roads_medium.
roads_large,trl_roads_n500,Stora vägar,transport,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 32/N500_SL_RoadsClip_TRL_32.shp,TRUE,line,327,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/roads_large.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/roads_large.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/roads_large.rds,0,ok,Trondelag N500 roads where vegkategor is E or R. Mirrors Bornholm roads_large.
protected_areas,trl_nature_protection_areas,Naturvernområden,protected,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 32/NEA_Naturvern_TRL+_32.shp,TRUE,polygon,420,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/protected_areas.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/protected_areas.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/protected_areas.rds,0,ok,Trondelag NEA Naturvern clipped/dissolved as first protected-nature controller; land-use classes stay out until the planned land-use controller.
cultural_preservation,trl_cultural_heritage,Kulturmiljoer och kulturminnen,culture,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 32/RA_Kulturminner-Culture_NW_32.shp,TRUE,polygon,64,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/cultural_preservation.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/cultural_preservation.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/cultural_preservation.rds,0,ok,Norwegian RA cultural heritage environments. Mirrors Bornholm cultural_preservation as a culture hard-exclusion source.
valuable_cultural_environment,trl_cultural_landscapes,Vardefulla kulturlandskap,culture,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 32/NEA_CulturalLandscapes_Area_TRL_32.shp,TRUE,polygon,146,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/valuable_cultural_environment.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/valuable_cultural_environment.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/valuable_cultural_environment.rds,0,ok,Norwegian NEA cultural landscapes. Mirrors Bornholm valuable_cultural_environment as a culture hard-exclusion source.
reindeer_grazing_merged,trl_reindeer_grazing_merged,Reindrift - arstidsbete sammanlagt,reindeer,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 33/Reindrift/LBD_Reindeer_Season-Grazing_Merged_NW_33.shp,TRUE,polygon,2115,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/reindeer_grazing_merged.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/reindeer_grazing_merged.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/reindeer_grazing_merged.rds,0,ok,"Landbruksdirektoratet seasonal grazing polygons, merged NW source. Trondelag-specific reindeer husbandry controller; no Bornholm equivalent exists."
reindeer_migration_routes,trl_reindeer_migration_routes,Reindrift - flyttleier,reindeer,D:/LABLAB_Energiforsk/Projekt SL01/Geodatakatalog_SL01/Utkommande_SL01/UT_Trondelag_SL01/UTM 33/Reindrift/LDB_Reindrift-Flyttlei_NW_33.shp,TRUE,polygon,580,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/source_geojson/reindeer_migration_routes.geojson,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/distance_tables/reindeer_migration_routes.csv,docs/geocontext/acceptance_framework/data/trondelag_prototype_assets/analysis_rds/reindeer_migration_routes.rds,0,ok,"Landbruksdirektoratet migration-route polygons. Treated as broad corridors, not center lines."
