"factor","variable","loading"
"F1","mean_gc_contour_mean_slope_deg_k250",0.9324
"F1","mean_gc_relief_m_k250",0.9295
"F1","mean_gc_contour_mean_slope_deg_k100",0.9289
"F1","mean_gc_relief_m_k100",0.9241
"F1","mean_gc_contour_mean_slope_deg_k50",0.9151
"F1","mean_gc_relief_m_k50",0.9011
"F1","mean_gc_contour_mean_slope_deg_k1000",0.8919
"F1","mean_gc_relief_m_k1000",0.8894
"F1","mean_gc_contour_mean_slope_deg_k10",0.8619
"F1","std_gc_contour_valley_depth_max_m_k250",0.8501
"F2","mean_gc_jordart_es_flyvesand_share_k1000",0.8437
"F2","std_gc_sand_dune_share_k1000",0.8208
"F2","std_gc_sand_dune_share_k250",0.8103
"F2","mean_gc_jordart_es_flyvesand_share_k250",0.7983
"F2","std_gc_sand_dune_share_k100",0.7641
"F2","mean_gc_sand_dune_share_k1000",0.7634
"F2","mean_gc_strand_protection_share_k1000",0.7578
"F2","mean_gc_sand_dune_share_k250",0.7472
"F2","mean_gc_strand_protection_share_k250",0.7373
"F2","mean_gc_jordart_es_flyvesand_share_k100",0.7304
"F3","mean_gc_fredskov_share_k250",0.7965
"F3","mean_gc_fredskov_share_k1000",0.7957
"F3","mean_gc_fredskov_share_k100",0.7854
"F3","mean_gc_forest_share_k250",0.7827
"F3","mean_gc_forest_share_k1000",0.782
"F3","mean_gc_natura_habitat_areas_share_k1000",0.7764
"F3","mean_gc_natura_bird_protection_share_k1000",0.7755
"F3","mean_gc_forest_share_k100",0.7719
"F3","mean_gc_fredskov_share_k50",0.7711
"F3","mean_gc_natura_habitat_areas_share_k250",0.7624
"F4","mean_gc_fastboende_count_k1000",0.8759
"F4","std_gc_fastboende_count_k250",0.8463
"F4","mean_gc_fastboende_count_k250",0.8462
"F4","std_gc_fastboende_count_k1000",0.8415
"F4","mean_gc_fastboende_count_k100",0.7969
"F4","std_gc_fastboende_count_k100",0.7932
"F4","mean_gc_built_low_selection_share_k1000",0.791
"F4","mean_gc_buildings_low_share_k1000",0.77
"F4","mean_gc_fastboende_count_k50",0.7548
"F4","mean_gc_built_low_selection_share_k250",0.7472
"F5","mean_gc_highest_point_low_band_k100",0.7156
"F5","mean_gc_highest_point_low_band_k250",0.7155
"F5","mean_gc_highest_point_low_band_k50",0.712
"F5","mean_gc_highest_point_low_band_k1000",0.6989
"F5","mean_gc_highest_point_m_k1000",-0.6907
"F5","mean_gc_highest_point_low_band_k10",0.6868
"F5","mean_gc_highest_point_m_k250",-0.6846
"F5","mean_gc_highest_point_m_k100",-0.675
"F5","mean_gc_contour_mean_elevation_m_k1000",-0.6737
"F5","mean_gc_contour_mean_elevation_m_k250",-0.6689
