"class_k8","v10_type_id","v10_type_name","n_hex","class_pct"
1,"LT01","Klippigt kustlandskap",253,14.6
1,"LT02","Sandigt kustlandskap",457,26.5
1,"LT03","Jordbruksdominerat sprickdalslandskap",285,16.5
1,"LT04","Skogsklätt sprickdalslandskap",6,0.3
1,"LT05","Slätt- och jordbrukslandskap",726,42
2,"LT03","Jordbruksdominerat sprickdalslandskap",7188,100
3,"LT03","Jordbruksdominerat sprickdalslandskap",11298,67.5
3,"LT05","Slätt- och jordbrukslandskap",5439,32.5
4,"LT02","Sandigt kustlandskap",640,100
5,"LT01","Klippigt kustlandskap",2004,100
6,"LT05","Slätt- och jordbrukslandskap",11604,100
7,"LT04","Skogsklätt sprickdalslandskap",5330,100
8,"LT02","Sandigt kustlandskap",1887,100
