factor,variable,loading,abs_loading
F1,gc_k1000_std__fylkesveg_length_m_per_km2,0.8550902135648613,0.8550902135648613
F1,gc_k500_std__fylkesveg_length_m_per_km2,0.848241031858964,0.848241031858964
F1,gc_k1000_mean__fylkesveg_length_m_per_km2,0.825022307576498,0.825022307576498
F1,gc_k500_mean__fylkesveg_length_m_per_km2,0.8197629543953339,0.8197629543953339
F1,gc_k500_mean__landcover_open_area_share,-0.8073048593218385,0.8073048593218385
F1,gc_k1000_mean__landcover_open_area_share,-0.799390010118309,0.799390010118309
F1,gc_k200_std__fylkesveg_length_m_per_km2,0.7984977035050908,0.7984977035050908
F1,gc_k1000_mean__population_250m_pop_tot_sum,0.7932923479633848,0.7932923479633848
F1,gc_k200_mean__fylkesveg_length_m_per_km2,0.7895633163210002,0.7895633163210002
F1,gc_k1000_std__population_250m_pop_tot_sum,0.7865135053495905,0.7865135053495905
F1,gc_k1000_mean__population_250m_count_per_km2,0.7845963700906164,0.7845963700906164
F1,gc_k200_mean__holiday_home_count_per_km2,0.7751783444009778,0.7751783444009778
F2,gc_k500_mean__main_river_length_m_per_km2,0.869572226105029,0.869572226105029
F2,gc_k200_mean__main_river_length_m_per_km2,0.8487227697743602,0.8487227697743602
F2,gc_k1000_mean__main_river_length_m_per_km2,0.8412324236742412,0.8412324236742412
F2,gc_k1000_std__main_river_length_m_per_km2,0.836427117020454,0.836427117020454
F2,gc_k500_mean__contour_length_m_per_km2,0.8345480076472381,0.8345480076472381
F2,gc_k200_mean__landcover_sea_area_share,-0.8331210138329259,0.8331210138329259
F2,gc_k500_std__main_river_length_m_per_km2,0.8270761802432186,0.8270761802432186
F2,gc_k200_mean__contour_length_m_per_km2,0.8266071077755578,0.8266071077755578
F2,gc_k50_mean__landcover_sea_area_share,-0.815775975136679,0.815775975136679
F2,gc_k1000_mean__contour_length_m_per_km2,0.8095458184044338,0.8095458184044338
F2,gc_k200_std__main_river_length_m_per_km2,0.8062992428547754,0.8062992428547754
F2,gc_k500_mean__landcover_sea_area_share,-0.8029084914083618,0.8029084914083618
F3,gc_k200_mean__tettsted_area_share,0.735554744800505,0.735554744800505
F3,gc_k200_mean__landcover_built_area_share,0.7266977855503753,0.7266977855503753
F3,gc_k200_mean__populated_area_share,0.725492325581318,0.725492325581318
F3,gc_k50_mean__tettsted_area_share,0.7191016069530044,0.7191016069530044
F3,gc_k50_std__tettsted_area_share,0.7117243802196954,0.7117243802196954
F3,gc_k50_mean__populated_area_share,0.7090687739201786,0.7090687739201786
F3,gc_k50_mean__landcover_built_area_share,0.7086555959645866,0.7086555959645866
F3,gc_k200_std__tettsted_area_share,0.7041071563870132,0.7041071563870132
F3,gc_k50_std__populated_area_share,0.6860213908588322,0.6860213908588322
F3,gc_k200_std__populated_area_share,0.6789026946624427,0.6789026946624427
F3,gc_k200_mean__euroad_length_m_per_km2,0.6545467966192325,0.6545467966192325
F3,gc_k500_mean__tettsted_area_share,0.6462641067926854,0.6462641067926854
F4,gc_k1000_mean__lake_area_share,-0.8084229862019224,0.8084229862019224
F4,gc_k1000_mean__landcover_inland_water_area_share,-0.799796496113297,0.799796496113297
F4,gc_k1000_std__lake_area_share,-0.7975636399985038,0.7975636399985038
F4,gc_k1000_mean__cultural_landscape_area_share,0.764014537898748,0.764014537898748
F4,gc_k1000_std__cultural_landscape_area_share,0.7554735923427219,0.7554735923427219
F4,gc_k500_mean__lake_area_share,-0.7327974862295228,0.7327974862295228
F4,gc_k1000_std__holiday_home_count_per_km2,0.7310362566849037,0.7310362566849037
F4,gc_k1000_std__holiday_home_bui2hol_sum,0.7246045871515385,0.7246045871515385
F4,gc_k500_mean__landcover_inland_water_area_share,-0.7216771352239729,0.7216771352239729
F4,gc_k500_std__lake_area_share,-0.7158442086475151,0.7158442086475151
F4,gc_k500_std__holiday_home_bui2hol_sum,0.6841194647236446,0.6841194647236446
F4,gc_k500_std__cultural_landscape_area_share,0.668609177963608,0.668609177963608
F5,gc_k1000_mean__bedrock_group_schist_phyllite_area_share,0.7851514186313021,0.7851514186313021
F5,gc_k1000_std__cultural_heritage_context_area_share,0.7727446783829509,0.7727446783829509
F5,gc_k1000_mean__cultural_heritage_context_area_share,0.7686645496102897,0.7686645496102897
F5,gc_k500_mean__bedrock_group_granitic_gneiss_area_share,-0.7670048626649537,0.7670048626649537
F5,gc_k1000_mean__bedrock_group_granitic_gneiss_area_share,-0.7621015042937297,0.7621015042937297
F5,gc_k500_mean__bedrock_group_schist_phyllite_area_share,0.7546852115375375,0.7546852115375375
F5,gc_k200_mean__bedrock_group_granitic_gneiss_area_share,-0.747103056288239,0.747103056288239
F5,gc_k500_mean__cultural_heritage_context_area_share,0.7393668982256761,0.7393668982256761
F5,gc_k200_mean__cultural_heritage_context_area_share,0.7168541334908934,0.7168541334908934
F5,gc_k50_mean__bedrock_group_granitic_gneiss_area_share,-0.7008713784051129,0.7008713784051129
F5,gc_k50_mean__cultural_heritage_context_area_share,0.696560161281418,0.696560161281418
F5,gc_k10_mean__cultural_heritage_context_area_share,0.6823273282095534,0.6823273282095534
